,SMILES,EState_VSA6,PEOE_VSA5,fr_sulfonamd,NumAromaticHeterocycles,Chi3v,MolLogP,MinAbsEStateIndex,PEOE_VSA7,PEOE_VSA4
555,CCCn1c(CCC(=O)[O-])ccc1-c1cccs1,11.336785877934735,11.336785877934735,0,2,3.7695604743275055,2.3091,0.0809604119425548,42.84162884462877,0.0
556,CCCn1c(NC(=O)c2ccc(C)cc2)nc2ccccc21,0.0,0.0,0,1,3.640853315187226,4.0070200000000025,0.1317970521541946,37.61002709646307,0.0
557,CCOC(=O)C1=C(C)NC(=O)[C@@H](C(N)=O)[C@H]1c1ccccc1,38.112942673227685,0.0,0,0,3.602072493733325,0.8386000000000002,0.2007019242882344,19.410925891078243,0.0
558,CCOC(=O)C1=C([NH3+])OC2=C(C(=O)CCC2)[C@@H]1c1ccco1,19.056471336613843,0.0,0,1,3.8556944625024014,1.4170999999999991,0.0167143801965228,25.47729295953985,0.0
559,CCOC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1,36.08911520438754,0.0,0,0,3.749568294362801,3.147000000000002,0.0930260231324453,44.03084871938909,0.0
560,CCOC(=O)C1CC[NH+](Cc2ccc(F)cc2)CC1,0.0,0.0,0,0,3.680016549326596,1.1837,0.052470198619188,19.056471336613843,0.0
561,CCOC(=O)C1CC[NH+](Cc2ccccc2C(F)(F)F)CC1,12.990104268152232,0.0,0,0,4.075850523507793,2.063400000000001,0.1096667795204509,12.990104268152232,13.17124514302446
562,CCOC(=O)CC(=O)CSc1nc2nc(C)cc(C)n2n1,11.439135093306248,5.098681808301038,0,2,3.5053842088461,1.35554,0.1326646352985641,26.83757866753348,4.9839785209472085
563,CCOC(=O)COc1cc(=O)n(CC)c2ccccc12,11.49083684748198,0.0,0,1,2.947979236022933,1.9633,0.1480936371462162,25.980208536304467,0.0
564,CCOC(=O)CSc1nc(C2CC2)nc2ccccc12,0.0,0.0,0,1,4.124793876271676,3.1624000000000017,0.2007728647014357,25.831747514004253,0.0
565,CCOC(=O)N1CCC([NH2+]C2CCCCCCC2)CC1,0.0,0.0,0,0,4.759787790104287,2.2836,0.1278666791428329,32.60702369139466,0.0
566,CCOC(=O)NC(NC(=O)OCC)C(=O)c1ccccc1,44.179309741689295,0.0,0,0,2.395736789788535,1.6876,0.1502849426807762,13.847474399381248,0.0
567,CCOC(=O)[C@@H]1C(=O)Nc2nc(C)nn2[C@@H]1c1ccccc1,18.529277334526437,0.0,0,1,3.5154888958398653,1.3073199999999996,0.2156399596875791,19.410925891078243,10.082660329248244
568,CCOC(=O)c1c(C)n(C)c2ccc(O)c(C[NH+](C)C)c12,12.990104268152232,0.0,0,1,3.7523374637775206,1.0135200000000002,0.2220819160997733,25.980208536304467,0.0
569,CCOC(=O)c1c(C)oc(/N=C/c2ccccc2O)c1C#N,32.04657560476608,0.0,0,1,2.914698713342195,3.0926000000000022,0.0058390022675738,25.980208536304467,5.261891554738487
570,CCOC(=O)c1c(Nc2ccccc2N)cc(C)nc1C,19.913841467842857,0.0,0,1,3.038108151072588,3.200940000000001,0.3185174949609479,38.9703128044567,0.0
571,CCOC(=O)c1ccc(Nc2nc(C)cc(C)c2C#N)cc1,31.18920547353706,0.0,0,1,3.1152681485496174,3.490420000000002,0.3441004462442054,56.66649843307691,5.261891554738487
572,CCOC(=O)c1ccccc1NC(=O)c1cccs1,43.32193961046029,11.336785877934735,0,1,3.284207600878208,3.177100000000001,0.2298625283446709,30.502901175541368,0.0
573,CCOCC(=O)Nc1cc(-c2cn3cccnc3[nH+]2)ccc1C,6.196843571613076,0.0,0,2,3.548725333653512,2.09882,0.0618325127086853,25.47729295953985,0.0
574,CCO[P@](=O)(C#CC(C)(C)C)C1(O)CCCCC1,6.923737199690624,0.0,0,0,5.662403292358973,3.9607000000000023,0.2383053429705213,59.0397580138641,0.0
