,NumAromaticRings,FractionCSP3,NumAromaticHeterocycles,fr_Ar_N,SPS,SlogP_VSA8,NumSaturatedRings,NumAliphaticRings,BCUT2D_CHGHI,SlogP_VSA6
773,2,0.2857142857142857,0,0,16.037037037037038,0.0,1,1,2.3356331693568313,54.59730361615449
774,1,0.375,0,0,10.56,0.0,0,0,2.1653396047276083,24.26546827384644
775,3,0.4,2,4,14.407407407407407,11.033401435232523,0,1,2.2379874169919223,41.58416910429588
776,1,0.3125,0,0,11.782608695652174,0.0,0,0,2.184184581218692,24.26546827384644
777,1,0.5882352941176471,0,0,19.208333333333332,0.0,1,1,2.283571953139498,24.26546827384644
778,1,0.46153846153846156,1,0,21.73913043478261,0.0,1,1,2.6846832594435517,22.813048069615622
779,1,0.7333333333333333,1,2,14.869565217391305,0.0,1,1,2.259015179023482,4.339655680673546
780,2,0.5,1,1,12.363636363636363,11.099720859258504,0,0,2.158691444010358,32.30627280202777
781,2,0.3333333333333333,0,0,13.925925925925926,0.0,1,1,2.260716294437598,48.53093654769288
782,2,0.42857142857142855,1,2,24.62962962962963,0.0,1,2,2.5123488636833287,41.78803952702006
783,1,0.3888888888888889,0,0,23.88,0.0,2,2,2.3316937174125925,41.60197918543315
784,2,0.14285714285714285,1,2,11.714285714285714,10.902924932081056,0,0,2.153480059156003,40.269284639106885
785,2,0.3,1,1,21.916666666666668,0.0,0,2,2.3843767805221043,59.93155689396944
786,1,0.5555555555555556,0,0,27.6,0.0,2,2,2.6476630261987153,24.26546827384644
787,1,0.375,0,0,25.75,0.0,1,2,2.483696122343611,34.32094535812039
788,1,0.3888888888888889,0,0,35.08,0.0,1,3,2.8063919988559487,42.104894762197766
789,2,0.3,0,0,12.115384615384615,0.0,0,1,2.1628426788542243,42.46456947923127
790,1,0.3125,0,0,15.478260869565217,0.0,1,1,2.4051695055764633,35.53561211697154
791,1,0.5294117647058824,0,0,14.73913043478261,0.0,1,1,2.2178274347480174,18.19910120538483
792,1,0.5,0,0,15.88,0.0,1,1,2.4965480723514832,24.26546827384644
793,2,0.42105263157894735,1,3,16.076923076923077,0.0,0,1,2.3472846964790284,41.862932191736085
794,0,0.8888888888888888,0,0,20.73913043478261,0.0,2,2,2.2843561225171,0.0
795,1,0.3888888888888889,0,0,17.083333333333332,0.0,1,1,2.375278950718956,41.60197918543315
796,2,0.4444444444444444,1,1,12.125,11.454175413722904,0,0,2.1554898564905067,28.682619210899787
797,2,0.35294117647058826,1,0,11.25,0.0,0,0,2.189984891718441,45.710836823340784
798,0,0.7647058823529411,0,0,34.26086956521739,0.0,2,3,2.666692299724223,12.152040213667762
799,3,0.35,1,2,12.4,11.033401435232523,0,0,2.138020431583301,54.59730361615449
800,2,0.3888888888888889,1,2,11.56,0.0,0,0,2.1059248506415464,38.84694737462575
801,3,0.25,2,2,10.8,10.902924932081056,0,0,2.176242378481082,53.45595023491617
802,1,0.5333333333333333,0,0,11.217391304347826,0.0,0,0,2.1242876861335724,29.160951749364212
803,2,0.3125,1,0,11.208333333333334,0.0,0,0,2.1256867632266645,51.973999818979834
804,1,0.5263157894736842,0,0,10.076923076923077,0.0,0,0,2.073231672287675,24.26546827384644
805,1,0.47058823529411764,0,0,20.208333333333332,0.0,1,2,2.416649157010728,24.26546827384644
806,1,0.95,1,4,25.73076923076923,0.0,3,3,2.3520705222052545,0.0
807,1,0.875,1,4,23.130434782608695,0.0,1,1,2.336061807007607,0.0
808,3,0.4,2,3,14.666666666666666,16.77408020416172,1,1,2.2085065273557296,36.39820241076966
809,3,0.3125,2,4,11.291666666666666,11.16387793838399,0,0,2.1666434825707706,39.01097912381079
810,2,0.25,1,1,11.5,0.0,0,0,2.2210615287119087,47.490529457900514
811,2,0.2631578947368421,0,0,10.125,0.0,0,0,2.054024933032791,48.53093654769288
812,1,0.6111111111111112,0,0,18.72,0.0,1,1,2.3069537890130993,30.33183534230805
813,3,0.23809523809523808,1,2,10.538461538461538,5.687386274683562,0,0,2.1490944736714925,66.73003775307771
814,1,0.42857142857142855,0,0,19.40740740740741,0.0,0,2,2.3998982393132353,40.73938889163503
815,1,0.3157894736842105,0,3,11.0,17.075242264380485,0,2,2.2251782341729913,35.126372526379875
816,2,0.6111111111111112,2,3,11.956521739130435,11.033401435232523,0,0,2.227114935944905,0.0
817,2,0.42105263157894735,1,1,14.538461538461538,10.772448428929591,1,1,2.24923911696774,35.126372526379875
818,1,0.5,0,0,16.217391304347824,0.0,1,1,2.304712306905303,23.094584680902603
819,1,0.5625,1,0,10.208333333333334,0.0,0,0,2.278981483467228,0.0
820,2,0.3888888888888889,1,1,17.541666666666668,11.323698910571437,1,1,2.305706344100286,40.921297347743014
821,2,0.4117647058823529,2,0,13.956521739130435,0.0,0,1,2.2664551718104344,22.813048069615622
822,3,0.21052631578947367,2,2,16.0,0.0,0,1,2.4329405768768986,47.07851634346206
823,3,0.2,2,4,10.863636363636363,16.904556707313183,0,0,2.171645209414786,34.80455485814046
824,3,0.3125,2,5,12.076923076923077,5.817862777835028,0,0,2.2667868629278196,34.9608742792014
825,3,0.15789473684210525,1,0,10.48,10.969244356107037,0,0,2.232353926703652,52.948087484746225
826,2,0.2777777777777778,0,0,11.24,0.0,0,0,2.1312524876538252,59.49278709167226
827,3,0.4,2,4,10.91304347826087,15.531948111321793,0,0,2.176805518264546,18.460054211687762
828,1,0.6470588235294118,0,0,20.75,0.0,1,1,2.424825056056503,23.094584680902603
829,2,0.3125,1,1,11.409090909090908,0.0,0,0,2.1866212152520488,41.4241623894389
830,2,0.2631578947368421,0,0,16.8,0.0,1,1,2.349023234770688,48.53093654769288
831,2,0.47058823529411764,1,3,10.68,0.0,0,0,2.115150919799469,29.421904755667146
832,1,0.5555555555555556,0,0,25.82608695652174,0.0,1,1,2.5436946976826666,24.26546827384644
833,3,0.3157894736842105,2,2,16.666666666666668,10.902924932081056,0,1,2.1728393759822016,46.00455400763612
834,2,0.38095238095238093,0,0,15.384615384615385,0.0,1,1,2.1629566247447767,48.53093654769288
835,2,0.16666666666666666,0,0,11.375,0.0,0,0,2.169088646613372,54.59730361615449
836,1,0.4444444444444444,0,3,20.916666666666668,22.29078092177798,1,3,2.283143937355168,24.52642128014937
837,2,0.35,1,0,29.85185185185185,0.0,2,2,2.7215844920655408,53.14488341192367
838,1,0.5294117647058824,0,0,16.82608695652174,0.0,0,1,2.280729369184644,29.160951749364212
839,2,0.47058823529411764,1,2,11.08695652173913,10.772448428929591,0,0,2.102446901313051,24.26546827384644
840,3,0.2222222222222222,1,2,10.869565217391305,11.033401435232523,0,0,2.125081120493799,53.68737302951359
841,2,0.25,0,0,11.045454545454545,0.0,0,0,2.2028296052788314,47.360052954749044
842,2,0.4444444444444444,1,3,13.666666666666666,0.0,0,1,2.2203023763419862,29.421904755667146
843,2,0.23076923076923078,2,0,10.35,0.0,0,0,2.1778334571149016,21.985516423221547
844,3,0.21052631578947367,2,2,10.6,10.902924932081056,0,0,2.100617780212081,59.652793806529246
845,3,0.21052631578947367,1,2,10.8,11.033401435232523,0,0,2.1164046752445342,53.68737302951359
846,3,0.3333333333333333,3,5,11.26086956521739,11.16387793838399,0,0,2.179033164505854,39.271932130113726
847,2,0.16666666666666666,1,2,10.526315789473685,0.0,0,0,2.1504834025609547,28.868664292830317
848,4,0.15789473684210525,3,4,11.12,21.93632636731358,0,0,2.161606347697315,48.661413050844345
849,3,0.11764705882352941,1,3,10.541666666666666,5.687386274683562,0,0,2.1525834656039518,65.82010716643681
850,1,0.5,0,0,25.59259259259259,0.0,2,3,2.4744581007439055,36.417508487514205
851,2,0.23529411764705882,0,0,14.130434782608695,0.0,0,1,2.260653552076592,53.42642002321065
852,2,0.34782608695652173,0,0,24.0,0.0,0,1,2.456373015663603,66.74934382982225
853,1,0.5,0,0,18.347826086956523,0.0,1,1,2.258391446198329,23.094584680902603
854,2,0.23529411764705882,0,0,13.2,0.0,0,1,2.198926112691285,42.46456947923127
855,2,0.1875,1,1,13.434782608695652,0.0,0,1,2.2126971402576325,47.62100596105197
856,2,0.45,1,2,15.592592592592593,11.257379486545457,1,1,2.1593660687431244,47.25910666330309
857,2,0.1875,2,1,16.565217391304348,0.0,0,1,2.3962894465061897,51.26068065444815
858,3,0.3125,2,4,10.84,10.969244356107037,0,0,2.181735951074565,21.34442225804839
859,1,0.5882352941176471,0,0,33.30434782608695,0.0,2,2,2.508228609853409,18.19910120538483
860,2,0.5714285714285714,1,1,36.07692307692308,10.902924932081056,2,3,2.5118206882891023,24.26546827384644
861,2,0.375,2,0,16.90909090909091,0.0,0,1,2.285715303656916,17.512796907389134
862,3,0.18181818181818182,2,8,10.590909090909092,5.687386274683562,0,0,2.1059246194976535,29.421904755667146
863,2,0.4444444444444444,2,0,15.76923076923077,0.0,1,1,2.229112592828792,33.09977014795314
864,3,0.2631578947368421,2,0,13.0,10.969244356107037,0,1,2.19397493414854,43.96067440048657
865,2,0.125,0,0,10.173913043478262,0.0,0,0,2.143568783584843,46.18916936180521
866,2,0.07142857142857142,1,1,9.9,0.0,0,0,2.139269764168289,46.93728899506369
867,1,0.35714285714285715,0,0,17.0,0.0,1,1,2.353604662898821,24.26546827384644
868,2,0.29411764705882354,1,3,19.12,0.0,0,2,2.370484817202354,35.53561211697154
869,2,0.3333333333333333,2,1,10.4,0.0,0,0,2.2855715538619386,4.523094936973348
870,3,0.25,1,2,10.74074074074074,10.902924932081056,0,0,2.163041439679598,53.3254737317647
871,1,0.5625,0,0,19.166666666666668,0.0,1,1,2.3690966787275882,29.160951749364212
872,2,0.35714285714285715,1,3,10.681818181818182,0.0,0,0,2.1252537135296046,24.395944776997904
873,1,0.6470588235294118,1,0,16.923076923076923,0.0,1,1,2.469654938683282,22.813048069615622
874,2,0.375,1,2,10.590909090909092,0.0,0,0,2.0999486004111603,47.881958967354905
875,3,0.35294117647058826,2,4,11.16,11.16387793838399,0,0,2.164929486866715,33.854542641990086
876,2,0.2777777777777778,1,1,10.16,0.0,0,0,2.1536082565745294,35.126372526379875
877,3,0.11764705882352941,1,0,10.565217391304348,10.969244356107037,0,0,2.1626416576379297,46.88172041628462
878,3,0.11764705882352941,1,1,11.391304347826088,10.902924932081056,0,0,2.1636791583069006,59.62326359482373
879,2,0.3333333333333333,1,0,19.52,0.0,0,1,2.416660741285467,28.682619210899787
880,2,0.4444444444444444,1,2,15.038461538461538,11.257379486545457,1,1,2.3422532486683947,24.26546827384644
881,2,0.35294117647058826,1,2,14.458333333333334,11.257379486545457,1,1,2.1691930718367796,41.68511539574183
882,2,0.4444444444444444,1,1,20.2,11.454175413722904,1,1,2.279297773592056,22.616252142438178
883,4,0.19047619047619047,3,2,10.925925925925926,16.904556707313183,0,0,2.170762204402807,59.21125048038529
884,2,0.35714285714285715,1,3,10.5,11.387855989696924,0,0,2.1331595754631514,23.355537687205537
885,3,0.3157894736842105,2,2,17.26923076923077,11.387855989696924,1,1,2.2908300372179196,46.30136011820892
886,4,0.15,2,4,13.192307692307692,16.720787709916085,0,1,2.235125763756129,61.0551001940705
887,4,0.11764705882352941,2,8,10.703703703703704,17.075242264380485,0,0,2.1463397216906945,54.858256622457425
888,1,0.5,0,0,16.16,0.0,1,1,2.375561571342288,24.26546827384644
889,2,0.3333333333333333,1,0,11.48,0.0,0,0,2.19572250169094,41.01214927500045
890,2,0.35,0,0,14.92,0.0,1,1,2.1407193396566453,48.53093654769288
891,1,0.5882352941176471,0,0,19.956521739130434,0.0,2,2,2.402946803772524,24.26546827384644
892,3,0.2,2,2,10.681818181818182,11.58465191687437,0,0,2.1326338390385287,43.94159665934461
893,3,0.38095238095238093,1,4,14.444444444444445,0.0,0,1,2.3250635123306616,48.53093654769288
894,2,0.23529411764705882,0,0,10.32,0.0,0,0,2.1379779397995637,36.39820241076966
895,2,0.23529411764705882,0,0,10.08695652173913,0.0,0,0,2.0832000938681716,36.39820241076966
896,2,0.13333333333333333,0,0,11.0,0.0,0,0,2.156223976919659,47.360052954749044
897,3,0.10526315789473684,1,1,12.36,11.126902983393991,0,1,2.215639145814565,65.68963066328534
898,3,0.125,1,3,10.521739130434783,17.075242264380485,0,0,2.148364012290396,47.62100596105198
899,1,0.5,0,0,26.53846153846154,0.0,2,2,2.543472201224519,29.345310265523366
900,3,0.2,2,2,10.565217391304348,10.57107518854976,0,0,2.130031195638909,23.579163975850744
901,3,0.1111111111111111,1,0,10.541666666666666,10.969244356107037,0,0,2.156802155953494,57.742624668818046
902,3,0.21052631578947367,1,3,10.423076923076923,0.0,0,0,2.0797621143876137,42.46456947923127
903,3,0.25,1,0,11.115384615384615,10.969244356107037,0,0,2.1929315742799713,45.60989053189483
904,3,0.06666666666666667,2,2,11.24,0.0,0,0,2.2333537650545545,58.04036688744145
905,3,0.2,1,1,13.4,11.323698910571437,0,1,2.2547006259570197,59.12039855312784
906,3,0.058823529411764705,1,2,10.416666666666666,11.257379486545457,0,0,2.153180741739853,54.59730361615449
907,3,0.21052631578947367,1,4,15.37037037037037,5.697039313055833,0,1,2.274692117227562,48.54058958606515
908,2,0.21428571428571427,1,0,11.095238095238095,0.0,0,0,2.1695704840016403,45.98744435875765
909,3,0.21052631578947367,2,0,11.76,0.0,0,0,2.233785399198782,64.5913132508512
910,3,0.2631578947368421,1,3,18.692307692307693,0.0,0,1,2.3201188035091405,48.53093654769288
911,4,0.23809523809523808,2,3,11.346153846153847,21.936326367313576,0,0,2.1429045676684493,53.58642673806763
912,2,0.3333333333333333,0,0,16.653846153846153,0.0,1,1,2.34657564669084,42.46456947923127
913,2,0.1875,0,0,11.333333333333334,0.0,0,0,2.2286423838548797,53.42642002321065
914,2,0.3157894736842105,0,0,14.814814814814815,0.0,1,1,2.309682871512159,48.53093654769288
915,2,0.3333333333333333,1,2,14.041666666666666,0.0,1,1,2.259069166028291,28.605123954519986
916,1,0.38461538461538464,0,0,12.545454545454545,0.0,0,0,2.300594748626039,24.26546827384644
917,1,0.6666666666666666,1,1,27.26086956521739,0.0,1,2,2.3830948961042804,11.092327047130851
918,2,0.1875,0,0,11.08695652173913,0.0,0,0,2.1388586625604216,53.42642002321065
919,2,0.2222222222222222,2,4,10.473684210526315,0.0,0,0,2.157548112823176,15.69293573410733
920,2,0.25,1,0,13.434782608695652,0.0,0,1,2.1942607529264877,35.711898112773966
921,3,0.14285714285714285,3,4,12.272727272727273,5.647177220767728,0,0,2.1781901477932,47.881958967354905
922,1,0.5,1,0,44.28,0.0,3,4,2.7266204895953954,34.965088283283386
923,2,0.5,1,4,20.91304347826087,5.687386274683562,1,1,2.2224133678992026,30.59278834861098
924,1,0.5555555555555556,0,0,23.375,0.0,1,2,2.269024313289879,24.26546827384644
925,3,0.3,1,1,17.833333333333332,22.226623842652497,1,1,2.2453077895280074,46.881720416284615
926,1,0.5384615384615384,0,0,24.454545454545453,0.0,1,1,2.3667722032363177,23.094584680902603
927,2,0.2857142857142857,0,0,19.037037037037038,0.0,0,2,2.349354730642981,48.53093654769288
928,4,0.05555555555555555,2,3,10.96,22.553896272981408,0,0,2.162091432363901,52.948087484746225
929,1,0.6666666666666666,1,2,19.0,0.0,1,1,2.3762111594108624,4.472719515832414
930,2,0.5,1,0,12.64,10.969244356107037,0,0,2.265526598167933,27.511735617955953
931,3,0.1111111111111111,2,2,11.083333333333334,5.687386274683562,0,0,2.1446759471550068,64.91514443042334
932,4,0.07692307692307693,3,6,11.409090909090908,27.05028060417018,0,0,2.170578630997028,24.26546827384644
933,3,0.23529411764705882,2,3,10.84,11.58465191687437,0,0,2.1576097967814833,40.10221868835955
934,3,0.21052631578947367,2,1,10.6,10.902924932081056,0,0,2.116345427101943,46.038109253669695
935,3,0.3888888888888889,2,2,27.875,21.805849864162113,1,1,2.382810886795174,30.462311845459517
936,3,0.1875,2,4,10.956521739130435,5.948339280986494,0,0,2.1676521752018076,40.1228022933436
937,2,0.3888888888888889,1,1,14.26923076923077,0.0,0,1,2.3193369873260274,28.788563210819788
938,2,0.21428571428571427,1,2,11.28,0.0,0,0,2.4354399869656156,30.33183534230805
939,2,0.5333333333333333,2,3,19.08,0.0,1,1,2.361106439320997,15.484945480952732
940,2,0.21428571428571427,1,1,21.043478260869566,0.0,0,1,2.6924352764156985,40.921297347743014
941,2,0.375,1,0,16.73913043478261,0.0,1,1,2.3009485881074476,35.227318817825825
942,4,0.19047619047619047,3,4,11.222222222222221,22.160304418626517,0,0,2.189765453579111,64.57780749375253
